_STATE,_STATE_CODE,FOODATHOME,FOODAWAYHOME
Alabama,1,239.480,283.942
Alaska,2,213.807,229.937
Arizona,4,145.281,157.841
Arkansas,5,239.480,283.942
California,6,240.034,274.947
Colorado,8,228.382,260.200
Connecticut,9,250.853,288.072
Delaware,10,241.435,228.602
District of Columbia,11,246.752,273.657
Florida,12,246.596,271.416
Georgia,13,245.898,304.282
Guam,66,250.343,285.565
Hawaii,15,276.432,295.250
Idaho,16,250.343,285.565
Illinois,17,236.530,269.137
Indiana,18,227.358,279.344
Iowa,19,227.358,279.344
Kansas,20,227.358,279.344
Kentucky,21,239.480,283.942
Louisiana,22,239.480,283.942
Maine,23,250.853,288.072
Maryland,24,239.045,251.929
Massachusetts,25,252.126,299.713
Michigan,26,210.267,249.478
Minnesota,27,247.308,310.099
Mississippi,28,239.480,283.942
Missouri,29,231.762,300.391
Montana,30,250.343,285.565
Nebraska,31,227.358,279.344
Nevada,32,250.343,285.565
New Hampshire,33,250.853,288.072
New Mexico,35,250.343,285.565
New York,36,258.436,296.489
North Carolina,37,239.480,283.942
North Dakota,38,227.358,279.344
Ohio,39,227.358,279.344
Oklahoma,40,239.480,283.942
Oregon,41,250.343,285.565
Pennsylvania,42,241.435,228.602
Puerto Rico,72,250.853,288.072
Rhode Island,44,250.853,288.072
South Carolina,45,239.480,283.942
South Dakota,46,227.358,279.344
Tennessee,47,239.480,283.942
Texas,48,218.455,275.434
Utah,49,250.343,285.565
Vermont,50,250.853,288.072
Virginia,51,246.752,273.657
Washington,53,255.471,314.927
West Virginia,54,246.752,273.657
Wisconsin,55,247.308,310.099
Wyoming,56,250.343,285.565
